category,module_name,min_blocks,max_blocks,avg_dsp,min_firmware,block_list,notes
Audio,Aliaser,3,3,0.6%,2.0+,audio in | alias amount | audio out,
Audio,Buffer Delay,2,2,0.2%,2.0+,audio in | audio out,
Audio,Looper,8,9,0.3%,2.0+,audio in | record | restart playback | stop/play* | speed/pitch | start position* | loop length* | reverse playback* | audio out,
Audio,Granular,9,10,4.0-30%,2.0+,audio in | audio inR* | grain size | grain position | density | texture | speed/pitch | freeze | audio out | audio outR*,
Audio,Stereo Spread,4,5,1.5%,2.0+,audio in | delay time | audio out 1 | audio out 2 (MS: in1 | in2 | side gain | out1 | out2),
Audio,Bit Modulator,3,3,0.8%,2.0+,audio in 1 | audio in 2 | audio out,
Audio,Diffuser,6,6,1.7%,2.0+,audio in | gain | size | mod width | mod rate | audio out,
Audio,Sampler,11,12,10.0-20%,3.0+,audio inL* | audio inR* | record* | sample playback | speed/pitch | direction* | start | length | position cv out* | loop end cv out* | audio outL | audio outR,
Control,LFO,4,5,0.3%,2.0+,frequency/trigger in | swing amount* | phase input* | phase reset* | output,
Control,Sequencer,7,42,2.0%,2.0+,step 1..N | gate in | queue start* | out type 1..N,
Control,ADSR,6,10,0.07%,2.0+,cv input | retrigger* | delay* | attack | hold attack/decay* | decay | sustain | hold sustain/release* | release | cv output,
Control,Sample and Hold,3,3,0.1%,2.0+,CV input | trigger | CV output,
Control,CV Invert,2,2,0.02%,2.0+,CV input | CV output,
Control,CV Rectify,2,2,0.07%,2.0+,CV input | CV output,
Control,Value,2,2,0.15%,2.0+,value | CV output,
Control,Trigger,2,2,0.10%,2.0+,CV input | CV output,
Control,CV Flip Flop,2,2,0.2%,2.0+,CV input | CV output,
Control,CV Delay,3,3,1.5%,2.0+,CV input | delay time | CV output,
Control,CV Loop,7,8,0.1%,2.0+,CV input | record | play | playback speed | start position* | stop position* | restart loop | cv output,
Control,CV Filter,3,4,0.1%,2.0+,CV input | time constant | CV output (sep: CV input | rise constant | fall constant | CV output),
Control,Slew Limiter,3,4,0.2%,2.0+,CV input | slew rate | CV output (sep: CV input | rising lag | falling lag | CV output),
Control,Clock Divider,4,5,0.14%,2.0+,input | reset switch | dividend | divisor | CV output,
Control,Comparator,3,3,0.04%,2.0+,CV positive input | CV negative input | CV output,
Control,In Switch,4,18,0.2%,2.0+,CV input 1 | CV input 2* | in select | CV output,
Control,Out Switch,3,18,0.2%,2.0+,CV input | out select | CV output 1 | CV output 2*,
Control,Quantizer,2,4,1.0%,2.0+,CV input | key* | scale* | CV output,
Control,Steps,3,3,0.7%,2.0+,CV input | quant steps | CV output,
Control,Multiplier,3,9,0.2%,2.0+,CV input 1 | CV input 2 | CV output,
Control,Random,2,2,0.1%,2.0+,trigger in* | CV output,
Control,Rhythm,4,5,0.5%,2.0+,rec start-stop | rhythm in | play | play done* | rhythm out,
Control,Tap to CV,2,4,0.12%,2.0+,tap input | min time* | max time* | output,
Control,CV Mixer,5,17,0.30%,2.0+,cv in 1 | cv in 2* | atten 1 | atten 2* | cv output,
Analysis,Onset Detector,2,3,12.3%,2.0+,audio in | sensitivity* | CV output,
Analysis,Env Follower,2,4,2.5%,2.0+,audio in | rise time* | fall time* | CV output,
Analysis,Pitch Detector,2,2,2.3%,2.0+,audio in | pitch out,
Effects,Tone Control,9,10,2.2%,2.0+,aud in L | aud in R* | low shelf | mid gain 1 | mid frequency 1 | mid gain 2* | mid frequency 2* | high shelf | output L | output R*,
Effects,Delay w/Mod,8,9,7.0-15%,2.0+,audio in1 | audio in2* | delay time | feedback | mod rate | mod depth | mix | audio out1 | audio out2*,
Effects,Ping Pong Delay,8,9,10.4-16.4%,2.0+,audio in1 | audio in2* | delay time | feedback | mod rate | mod depth | mix | audio out1 | audio out2,
Effects,OD & Distortion,4,4,14.2%,2.0+,audio in | input gain | output gain | audio out,
Effects,Fuzz,4,4,14.1%,2.0+,audio in | input gain | output gain | audio out,
Effects,Compressor,4,9,2.4%,2.0+,audio in | audio inR* | threshold | attack* | release* | ratio* | sidechain in* | audio out | audio outR*,
Effects,Gate,5,8,2.8%,2.0+,audio inL | audio inR* | threshold | attack | release | sidechain in* | audio outL | audio outR*,
Effects,Plate Reverb,8,8,16.7%,2.0+,input L | input R | decay time | low eq | high eq | mix | output L | output R,
Effects,Hall Reverb,8,8,17.0%,2.0+,input L | input R | decay time | low eq | high eq (lpf freq) | mix | output L | output R,
Effects,Room Reverb,8,8,17.0%,2.0+,input L | input R | decay time | low eq | high eq (lpf freq) | mix | output L | output R,
Effects,Ghostverb,7,8,18.0-31%,2.0+,audio in1 | audio in2* | decay/feedback | rate | resonance | mix | audio out1 | audio out2*,
Effects,Reverb Lite,5,6,6.0-7.0%,2.0+,input L | input R* | decay time | mix | output L | output R*,
Effects,Phaser,7,8,5.0-10%,2.0+,input left | input right* | control in | resonance | width | mix | output left | output right*,
Effects,Chorus,7,8,6.0-10%,2.0+,input left | input right* | control in | width | tone tilt eq | mix | output left | output right*,
Effects,Vibrato,5,6,3.2-5%,2.0+,input left | input right* | control in | width | output left | output right*,
Effects,Flanger,8,9,4.7-10%,2.0+,input left | input right* | control in | regeneration | width | tone tilt eq | mix | output left | output right*,
Effects,Tremolo,5,6,1.0-2%,2.0+,audio inL | audio inR* | control in | depth | audio outL | audio outR*,
Effects,Env Filter,7,8,2.7-4%,2.0+,audio in1 | audio in2* | sensitivity | min freq | max freq | filter Q | audio out1 | audio out2*,
Effects,Ring Modulator,4,5,3.0-7.6%,2.0+,audio in | frequency or ext in | duty cycle* | mix | audio out,
Effects,Cabinet Sim,3,4,7.0%,2.0+,audio in1 | audio in2* | audio out1 | audio out2*,
Effects,Reverse Delay,8,9,7.0-9%,3.0+,audio in | audio inR | delay time | tap tempo in | tap ratio | feedback | pitch | mix | audio outL | audio outR,
Effects,Univibe,7,8,14.0-16%,3.0+,audio inL | audio inR | rate/tap/CV | depth | resonance | mix | audio outL | audio outR,
